island,presence,species,body_mass_g,winter_active
Otter,0,URCI,3833.72,1
Outer,1,URCI,3833.72,1
Raspberry,0,URCI,3833.72,1
Rocky,0,URCI,3833.72,1
Sand,0,URCI,3833.72,1
South Twin,0,URCI,3833.72,1
Stockton,1,URCI,3833.72,1
York,0,URCI,3833.72,1
Basswood,0,MAAM,1250,1
Bear,1,MAAM,1250,1
Cat,1,MAAM,1250,1
Devils,0,MAAM,1250,1
Eagle,0,MAAM,1250,1
Hermit,0,MAAM,1250,1
Ironwood,0,MAAM,1250,1
Mainland,0,MAAM,1250,1
Manitou,1,MAAM,1250,1
Michigan,0,MAAM,1250,1
North Twin,0,MAAM,1250,1
Oak,0,MAAM,1250,1
Otter,1,MAAM,1250,1
Outer,1,MAAM,1250,1
Raspberry,0,MAAM,1250,1
Rocky,1,MAAM,1250,1
Sand,0,MAAM,1250,1
South Twin,0,MAAM,1250,1
Stockton,1,MAAM,1250,1
York,0,MAAM,1250,1
Basswood,1,PEPE,4000,1
Bear,0,PEPE,4000,1
Cat,1,PEPE,4000,1
Devils,0,PEPE,4000,1
Eagle,0,PEPE,4000,1
Hermit,0,PEPE,4000,1
Ironwood,0,PEPE,4000,1
Mainland,1,PEPE,4000,1
Manitou,0,PEPE,4000,1
Michigan,0,PEPE,4000,1
North Twin,0,PEPE,4000,1
Oak,1,PEPE,4000,1
Otter,0,PEPE,4000,1
Outer,0,PEPE,4000,1
Raspberry,0,PEPE,4000,1
Rocky,1,PEPE,4000,1
Sand,1,PEPE,4000,1
South Twin,0,PEPE,4000,1
Stockton,1,PEPE,4000,1
York,0,PEPE,4000,1
Basswood,0,MUER,119.38,1
Bear,0,MUER,119.38,1
Cat,0,MUER,119.38,1
Devils,1,MUER,119.38,1
Eagle,0,MUER,119.38,1
Hermit,0,MUER,119.38,1
Ironwood,0,MUER,119.38,1
Mainland,0,MUER,119.38,1
Manitou,0,MUER,119.38,1
Michigan,0,MUER,119.38,1
North Twin,0,MUER,119.38,1
Oak,0,MUER,119.38,1
Otter,0,MUER,119.38,1
Outer,0,MUER,119.38,1
Raspberry,0,MUER,119.38,1
Rocky,0,MUER,119.38,1
Sand,1,MUER,119.38,1
South Twin,0,MUER,119.38,1
Stockton,0,MUER,119.38,1
York,0,MUER,119.38,1
Basswood,1,URAM,99949.36,0
Bear,1,URAM,99949.36,0
Cat,1,URAM,99949.36,0
Devils,0,URAM,99949.36,0
Eagle,0,URAM,99949.36,0
Hermit,1,URAM,99949.36,0
Ironwood,1,URAM,99949.36,0
Mainland,1,URAM,99949.36,0
Manitou,1,URAM,99949.36,0
Michigan,0,URAM,99949.36,0
North Twin,0,URAM,99949.36,0
Oak,1,URAM,99949.36,0
Otter,1,URAM,99949.36,0
Outer,1,URAM,99949.36,0
Raspberry,0,URAM,99949.36,0
Rocky,1,URAM,99949.36,0
Sand,1,URAM,99949.36,0
South Twin,0,URAM,99949.36,0
Stockton,1,URAM,99949.36,0
York,1,URAM,99949.36,0
Basswood,0,ERDO,7085.33,0
Bear,0,ERDO,7085.33,0
Cat,0,ERDO,7085.33,0
Devils,0,ERDO,7085.33,0
Eagle,0,ERDO,7085.33,0
Hermit,0,ERDO,7085.33,0
Ironwood,0,ERDO,7085.33,0
Mainland,1,ERDO,7085.33,0
Manitou,0,ERDO,7085.33,0
Michigan,0,ERDO,7085.33,0
North Twin,0,ERDO,7085.33,0
Oak,0,ERDO,7085.33,0
Otter,0,ERDO,7085.33,0
Outer,0,ERDO,7085.33,0
Raspberry,0,ERDO,7085.33,0
Rocky,0,ERDO,7085.33,0
Sand,0,ERDO,7085.33,0
South Twin,0,ERDO,7085.33,0
Stockton,0,ERDO,7085.33,0
York,0,ERDO,7085.33,0
Basswood,0,MUFR,147,1
Bear,0,MUFR,147,1
Cat,0,MUFR,147,1
Devils,0,MUFR,147,1
Eagle,0,MUFR,147,1
Hermit,0,MUFR,147,1
Ironwood,0,MUFR,147,1
Mainland,1,MUFR,147,1
Manitou,0,MUFR,147,1
Michigan,0,MUFR,147,1
North Twin,0,MUFR,147,1
Oak,0,MUFR,147,1
Otter,0,MUFR,147,1
Outer,0,MUFR,147,1
Raspberry,0,MUFR,147,1
Rocky,0,MUFR,147,1
Sand,0,MUFR,147,1
South Twin,0,MUFR,147,1
Stockton,0,MUFR,147,1
York,0,MUFR,147,1
Basswood,1,TAHU,201.17,1
Bear,1,TAHU,201.17,1
Cat,1,TAHU,201.17,1
Devils,1,TAHU,201.17,1
Eagle,0,TAHU,201.17,1
Hermit,1,TAHU,201.17,1
Ironwood,1,TAHU,201.17,1
Mainland,1,TAHU,201.17,1
Manitou,1,TAHU,201.17,1
Michigan,1,TAHU,201.17,1
North Twin,1,TAHU,201.17,1
Oak,1,TAHU,201.17,1
Otter,1,TAHU,201.17,1
Outer,1,TAHU,201.17,1
Raspberry,1,TAHU,201.17,1
Rocky,1,TAHU,201.17,1
Sand,1,TAHU,201.17,1
South Twin,1,TAHU,201.17,1
Stockton,1,TAHU,201.17,1
York,1,TAHU,201.17,1
Basswood,1,SCCA,506.5,1
Bear,0,SCCA,506.5,1
Cat,0,SCCA,506.5,1
Devils,0,SCCA,506.5,1
Eagle,0,SCCA,506.5,1
Hermit,0,SCCA,506.5,1
Ironwood,0,SCCA,506.5,1
Mainland,1,SCCA,506.5,1
Manitou,0,SCCA,506.5,1
Michigan,0,SCCA,506.5,1
North Twin,0,SCCA,506.5,1
Oak,0,SCCA,506.5,1
Otter,0,SCCA,506.5,1
Outer,0,SCCA,506.5,1
Raspberry,0,SCCA,506.5,1
Rocky,0,SCCA,506.5,1
Sand,0,SCCA,506.5,1
South Twin,0,SCCA,506.5,1
Stockton,0,SCCA,506.5,1
York,0,SCCA,506.5,1
Michigan,1,MYGA,19.83,1
Sand,1,MYGA,19.83,1
North Twin,1,MYGA,19.83,1
York,1,MYGA,19.83,1
Raspberry,1,MYGA,19.83,1
Manitou,1,MYGA,19.83,1
Otter,1,MYGA,19.83,1
Hermit,1,MYGA,19.83,1
Basswood,1,MYGA,19.83,1
Rocky,1,MYGA,19.83,1
Cat,1,MYGA,19.83,1
Ironwood,1,MYGA,19.83,1
Outer,1,MYGA,19.83,1
South Twin,1,MYGA,19.83,1
Bear,1,MYGA,19.83,1
Devils,1,MYGA,19.83,1
Mainland,1,MYGA,19.83,1
Oak,1,MYGA,19.83,1
Stockton,1,MYGA,19.83,1
Michigan,1,PELE,21.17,1
Sand,1,PELE,21.17,1
North Twin,0,PELE,21.17,1
York,1,PELE,21.17,1
Raspberry,0,PELE,21.17,1
Manitou,0,PELE,21.17,1
Otter,0,PELE,21.17,1
Hermit,0,PELE,21.17,1
Basswood,0,PELE,21.17,1
Rocky,1,PELE,21.17,1
Cat,0,PELE,21.17,1
Ironwood,0,PELE,21.17,1
Outer,1,PELE,21.17,1
South Twin,0,PELE,21.17,1
Bear,0,PELE,21.17,1
Devils,0,PELE,21.17,1
Mainland,1,PELE,21.17,1
Oak,1,PELE,21.17,1
Stockton,1,PELE,21.17,1
Michigan,0,PEMA,21.28,1
Sand,1,PEMA,21.28,1
North Twin,0,PEMA,21.28,1
York,1,PEMA,21.28,1
Raspberry,0,PEMA,21.28,1
Manitou,0,PEMA,21.28,1
Otter,0,PEMA,21.28,1
Hermit,0,PEMA,21.28,1
Basswood,0,PEMA,21.28,1
Rocky,1,PEMA,21.28,1
Cat,0,PEMA,21.28,1
Ironwood,0,PEMA,21.28,1
Outer,1,PEMA,21.28,1
South Twin,0,PEMA,21.28,1
Bear,0,PEMA,21.28,1
Devils,0,PEMA,21.28,1
Mainland,1,PEMA,21.28,1
Oak,0,PEMA,21.28,1
Stockton,1,PEMA,21.28,1
Michigan,1,SOCI,4.66,1
Sand,0,SOCI,4.66,1
North Twin,1,SOCI,4.66,1
York,0,SOCI,4.66,1
Raspberry,1,SOCI,4.66,1
Manitou,0,SOCI,4.66,1
Otter,1,SOCI,4.66,1
Hermit,1,SOCI,4.66,1
Basswood,0,SOCI,4.66,1
Rocky,0,SOCI,4.66,1
Cat,0,SOCI,4.66,1
Ironwood,0,SOCI,4.66,1
Outer,1,SOCI,4.66,1
South Twin,0,SOCI,4.66,1
Bear,1,SOCI,4.66,1
Devils,0,SOCI,4.66,1
Mainland,1,SOCI,4.66,1
